City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,huarmey,-10.0681,-78.1522,25.86,79,62,3.45,PE,1680476387
84,rieti,42.4072,12.8592,10.34,83,99,2.61,IT,1680476387
85,port blair,11.6667,92.75,25.71,76,100,2.9,IN,1680475853
86,ostrovnoy,68.0531,39.5131,-8.48,86,100,2.31,RU,1680475849
87,lorengau,-2.0226,147.2712,28.05,77,99,2.82,PG,1680475854
88,ulladulla,-35.35,150.4667,18.2,67,29,0.74,AU,1680475856
89,havoysund,70.9963,24.6622,-0.87,78,99,5.06,NO,1680475830
90,hambantota,6.1241,81.1185,24.63,86,2,1.88,LK,1680475859
91,saldanha,-33.0117,17.9442,18.03,92,67,4.3,ZA,1680476388
92,yellowknife,62.456,-114.3525,-10.71,62,75,0.0,CA,1680475827
93,aliwal north,-30.6937,26.7114,14.29,85,100,1.63,ZA,1680476388
94,cabo san lucas,22.8909,-109.9124,29.78,50,100,0.89,MX,1680475819
95,iwaki,37.05,140.8833,11.12,67,86,2.24,JP,1680476388
96,sao filipe,14.8961,-24.4956,24.86,60,0,3.23,CV,1680475847
97,baghdad,33.3406,44.4009,13.95,54,0,1.03,IQ,1680476388
98,opuwo,-18.0607,13.84,20.57,35,9,1.85,NA,1680475872
99,mataura,-46.1927,168.8643,14.15,56,70,1.21,NZ,1680475823
100,sterling,39.0062,-77.4286,13.48,37,20,3.6,US,1680476090
101,hasaki,35.7333,140.8333,12.22,60,100,9.28,JP,1680475851
102,hirara,24.8,125.2833,18.92,77,75,1.54,JP,1680475853
103,grand gaube,-20.0064,57.6608,26.32,76,93,5.15,MU,1680476389
104,saint-louis,16.3333,-15.0,31.8,13,93,6.87,SN,1680476389
105,east london,-33.0153,27.9116,21.58,77,100,3.76,ZA,1680475815
106,tuatapere,-46.1333,167.6833,13.81,55,93,1.87,NZ,1680475830
107,grindavik,63.8424,-22.4338,4.26,87,100,7.2,IS,1680476389
108,port alfred,-33.5906,26.891,20.66,93,100,0.45,ZA,1680475838
109,manggar,-2.8833,108.2667,25.02,84,100,1.25,ID,1680475875
110,moerai,-22.4333,-151.3333,22.91,82,100,2.41,PF,1680475861
111,camapua,-19.5314,-54.0439,23.57,68,0,2.2,BR,1680476389
112,lagoa,39.05,-27.9833,13.67,59,69,9.44,PT,1680475859
113,lasa,46.6166,10.7002,8.49,94,61,2.81,IT,1680475852
114,lunsar,8.6833,-12.5333,26.21,82,30,1.82,SL,1680476389
